,index,_id,detail_url,shop_name,phone,price_range,category,score,address,locatedin,industry_group,reviews_log,digital_presence,contact_date,process_status,reviews_log_norm,score_norm,merchant_rating,tier,channel
10,230522,6874725eb2350cfa2c0aabb1,https://www.google.com/maps/place/king+of+the+night/data=!4m7!3m6!1s0x6b12bd537e0d28d9:0x6a4e78f89784dd71!8m2!3d-33.8957137!4d150.9543937!16s%2fg%2f11swfc8fyh!19schij2sgnflo9emsrcd2el_h4tmo?authuser=0&hl=en&rclk=1,king of the night,+61 478 848 848,,bar,4.4,"183 hume hwy, cabramatta nsw 2166, australia",,Hospitality,2.302585093,0,2025-10-05,process,0.1742509078,0.88,15.71756354,Tier 3,Tele
11,117413,68747c06253335f1fe6bf19e,https://www.google.com/maps/place/xenos+gourmet+food/data=!4m7!3m6!1s0x6b12af26c3a384b9:0xb35bd91ce8f6a52a!8m2!3d-33.8149321!4d151.1828977!16s%2fg%2f1hdzcxnrn!19schijuysjwyavemsrkqx26bzzw7m?authuser=0&hl=en&rclk=1,xenos gourmet food,+61 2 9436 3488,a$1–20,cafe,4.1,"37 whiting st, artarmon nsw 2064, australia",,Hospitality,3.871201011,0,2025-10-21,won,0.4012765903,0.82,31.36936132,Tier 2,Tele
12,211721,6874709e8cb06f907b4b692a,https://www.google.com/maps/place/dough+boss+bankstown/data=!4m7!3m6!1s0x6b12bc103548a1ed:0x6b14f577ff2e28bd!8m2!3d-33.913447!4d151.0341269!16s%2fg%2f11hbvtms_p!19schij7afinrc8emsrvsgu_3f1fgs?authuser=0&hl=en&rclk=1,dough boss bankstown,+61 432 584 584,a$1–20,pizza restaurant,4.2,"shop 113/462 chapel rd, bankstown nsw 2200, australia",floor g · little saigon plaza bankstown,Hospitality,2.564949357,1,2025-10-31,won,0.2122228711,0.84,28.21560098,Tier 2,Tele
13,224470,686a1b6b5c450590fc97d002,https://www.google.com/maps/place/bacino+espresso+curl+curl/data=!4m7!3m6!1s0x6b12aa8db69e8697:0x11fe88840e936c90!8m2!3d-33.7625927!4d151.2893232!16s%2fg%2f11dyd3ht4q!19schijl4aeto2qemsrkgytdosi_he?authuser=0&hl=en&rclk=1,bacino espresso curl curl,+61 455 869 317,a$1–20,cafe,4.6,"2/142 pitt rd, north curl curl nsw 2099, australia",,Hospitality,4.574710979,0,2025-10-26,won,0.5030955433,0.92,38.89668803,Tier 2,Tele
14,29714,68747cafc1d7a7d2601e2758,https://www.google.com/maps/place/nekotaro/data=!4m7!3m6!1s0x6b12a56d4d1dea8f:0x20220f3f50354d39!8m2!3d-33.7926101!4d151.0798645!16s%2fg%2f11q53nbxsb!19schijj-odtw2lemsrou01ud8piia?authuser=0&hl=en&rclk=1,nekotaro,,a$20–40,japanese restaurant,4.3,"3-5 trelawney st, eastwood nsw 2122, australia",,Hospitality,3.17805383,1,2025-10-06,process,0.3009574427,0.86,34.50702099,Tier 2,Street
15,127,686a5736911249ca78486c54,https://www.google.com/maps/place/golden+century+bbq/data=!4m7!3m6!1s0x6b12af2cc75badf1:0xf46269b2512b7d1f!8m2!3d-33.8779554!4d151.2022088!16s%2fg%2f11k56d639z!19schij8a1bxyyvemsrh30rubjpyvq?authuser=0&hl=en&rclk=1,golden century bbq,,a$20–40,chinese restaurant,3.9,"darling square exchange, ground floor/1 little pier st, haymarket nsw 2000, australia",,Hospitality,5.241747015,0,2025-11-03,process,0.5996356267,0.78,45.09449387,Tier 1,Street
16,24834,6874ff61a9d63ff70868feef,https://www.google.com/maps/place/funda+place+-+leafy+hideout+in+northern+beaches/data=!4m9!3m8!5m2!4m1!1i2!8m2!3d-33.7638435!4d151.2662659!16s%2fg%2f11y5zbsmjd!17bq0ff?authuser=0&hl=en&rclk=1,funda place - leafy hideout in northern beaches,,,apartment,4.3,"brookvale, australia",,Hospitality,4.49980967,0,2025-10-09,lost,0.4922550817,0.86,37.89785572,Tier 2,Street
17,145841,68747c55e22dc408ae0067b1,https://www.google.com/maps/place/fortune8+chinese+restaurant/data=!4m7!3m6!1s0x6b12960e88286e77:0xb0d6173c9d3bcbe0!8m2!3d-33.8938001!4d150.9364273!16s%2fg%2f1tfkwg6c!19schijd24oia6wemsr4ms7ntwx1ra?authuser=0&hl=en&rclk=1,fortune8 chinese restaurant,+61 2 9727 8988,a$20–40,chinese restaurant,4.3,"shop 34/47 park rd, cabramatta nsw 2166, australia",,Hospitality,1.791759469,1,2025-10-14,process,0.1003191476,0.86,20.46234033,Tier 3,Tele
18,109646,6874a983aeaa8d97a35cf9d7,https://www.google.com/maps/place/wake+up!+sydney/data=!4m7!3m6!1s0x6b12ae23ff58fed7:0x9862120d42917353!8m2!3d-33.8823012!4d151.2045733!16s%2fg%2f1tplkwwg!19schij1_5y_youemsru3orqg0sypg?authuser=0&hl=en&rclk=1,wake up! sydney,+61 2 9288 7888,,2-star hotel,4.5,"509 pitt st, haymarket nsw 2000, australia",,Hospitality,1.386294361,0,2025-10-30,lost,0.04163620813,0.9,6.514534569,Tier 3,Tele
19,110544,6874e8f5a2e9f94a9c1032a9,https://www.google.com/maps/place/arthur%27s+pizza+rosebery/data=!4m7!3m6!1s0x6b12b12c902e6c2d:0xcc90d226a591371a!8m2!3d-33.9107582!4d151.2047692!16s%2fg%2f11fhyl10m2!19schijlwwukcyxemsrgjerpsbskmw?authuser=0&hl=en&rclk=1,arthur's pizza rosebery,+61 2 9313 8100,a$20–40,pizza restaurant,4.5,"1/3 dunning ave, rosebery nsw 2018, australia",,Hospitality,3.891820298,0,2025-10-17,process,0.4042608184,0.9,31.89825729,Tier 2,Tele
20,92990,687471c1d781998b57113160,https://www.google.com/maps/place/the+paper+mill+food/data=!4m7!3m6!1s0x6b1295c74e4d9401:0x2ee837620a796f85!8m2!3d-33.9322189!4d150.923371!16s%2fg%2f11h56nwxxd!19schijazrntsevemsrhw95cmi36c4?authuser=0&hl=en&rclk=1,the paper mill food,+61 2 8742 4033,a$20–40,restaurant,4.2,"20 shepherd st, liverpool nsw 2170, australia",,Hospitality,1.945910149,1,2025-10-25,won,0.1226293657,0.84,21.9440556,Tier 3,Tele
21,81119,687480cb8cb06f907b4b7526,https://www.google.com/maps/place/wa/data=!4m7!3m6!1s0x6b12adf09d16cda3:0x1d69bce07dd9ac19!8m2!3d-33.8911935!4d151.2458015!16s%2fg%2f1xgzbybp!19schijo80wnfctemsrgazzfec8ar0?authuser=0&hl=en&rclk=1,wa,+61 2 8068 4842,a$20–40,japanese restaurant,4.6,"5/310-330 oxford st, bondi junction nsw 2022, australia",,Hospitality,3.555348061,1,2025-10-27,process,0.3555632129,0.92,38.5694249,Tier 2,Tele
22,97646,68749e9592e5e08c182377d5,https://www.google.com/maps/place/mary+mackillop+place/data=!4m7!3m6!1s0x6b12aef235463d47:0xbf19b161796f2877!8m2!3d-33.8391078!4d151.2058897!16s%2fg%2f1tfj39pq!19schijrz1gnfkuemsrdyhvewgxgb8?authuser=0&hl=en&rclk=1,mary mackillop place,+61 2 8912 4800,,3-star hotel,4.6,"80 william st, north sydney nsw 2060, australia",,Hospitality,4.418840608,0,2025-10-29,lost,0.4805364344,0.92,37.31755041,Tier 2,Tele
23,157038,687481579be953c4e87caec9,https://www.google.com/maps/place/sumbo+kitchen+%e7%90%9b%e5%af%b6%e5%b0%8f%e5%bb%9a/data=!4m7!3m6!1s0x6b12a74c6061aeed:0xde200594b79d4e31!8m2!3d-33.7720266!4d151.0827465!16s%2fg%2f11y1y48ml9!19schij7a5hyeynemsrmu6dt5qfin4?authuser=0&hl=en&rclk=1,sumbo kitchen 琛寶小廚,+61 2 9869 0499,,chinese restaurant,4.5,"level 2/12 oxford st, epping nsw 2121, australia",,Hospitality,5.153291594,0,2025-10-13,won,0.5868334793,0.9,44.67834355,Tier 1,Tele
24,77321,6874e8c1c1d7a7d2601e7d9c,https://www.google.com/maps/place/piccante+pizza/data=!4m7!3m6!1s0x6b12ad82a10be4c7:0x71296f26f98bc436!8m2!3d-33.8184709!4d151.2436354!16s%2fg%2f11f68zzwqc!19schijx-qloyktemsrnssl-szvkxe?authuser=0&hl=en&rclk=1,piccante pizza,+61 2 7901 9735,a$20–40,pizza restaurant,4.5,"2/142 spit rd, mosman nsw 2088, australia",,Hospitality,4.976733742,0,2025-10-19,process,0.5612802725,0.9,42.88961907,Tier 1,Tele
25,141708,68748228fc6904a3332f3a7f,https://www.google.com/maps/place/milky+lane+parramatta/data=!4m7!3m6!1s0x6b12a31f957d9633:0x5f8e5b331903006!8m2!3d-33.8145752!4d151.0021449!16s%2fg%2f11gggkkn66!19schijm5z9lr-jemsrbjcqmbpl-au?authuser=0&hl=en&rclk=1,milky lane parramatta,+61 2 9689 3893,a$20–40,hamburger restaurant,4.1,"20/22 macquarie st, parramatta nsw 2150, australia",,Hospitality,3.496507561,0,2025-10-05,process,0.347047231,0.82,27.57330617,Tier 3,Tele
26,88619,6874d569dec3154ed58a3bec,https://www.google.com/maps/place/south+village+apartments+kirrawee/data=!4m7!3m6!1s0x6b12c769870df815:0x9b8adb5b8cc23814!8m2!3d-34.0336589!4d151.0731826!16s%2fg%2f11g6p5ybbt!19schijffgnh2nhemsrfdjcjfvbips?authuser=0&hl=en&rclk=1,south village apartments kirrawee,+61 2 8519 4322,,apartment building,3.7,"580 princes hwy, kirrawee nsw 2232, australia",located in: south village,Hospitality,5.826000107,0,2025-10-27,process,0.6841945397,0.74,50.85361778,Tier 1,Tele
27,1685,687480794625f187f88184c5,https://www.google.com/maps/place/chaoyang+delicious/data=!4m7!3m6!1s0x6b12a50017323db3:0x58015832a20fdc54!8m2!3d-33.822947!4d151.0782874!16s%2fg%2f11w3npc2s1!19schijsz0yfwclemsrvnwpojjyavg?authuser=0&hl=en&rclk=1,chaoyang delicious,,a$1–20,chinese restaurant,4.9,"1d burroway rd, wentworth point nsw 2127, australia",floor g · pierside shopping centre,Hospitality,4.043051268,0,2025-10-11,won,0.4261484671,0.98,33.75039269,Tier 2,Street
28,109482,6874f797abce644b9e0e8d15,https://www.google.com/maps/place/century+tower/data=!4m7!3m6!1s0x6b12ae3dad955555:0xed2436b838933fd0!8m2!3d-33.8754546!4d151.2075791!16s%2fm%2f027dcsr!19schijvvwvrt2uemsr0d-tolg2jo0?authuser=0&hl=en&rclk=1,century tower,+61 2 9283 7778,,apartment building,3.6,"343/357 pitt st, sydney nsw 2000, australia",,Hospitality,4.33073334,0,2025-10-20,won,0.4677846752,0.72,35.62492726,Tier 2,Tele
29,124541,68747cc2227f08b1a603978b,https://www.google.com/maps/place/the+peppertree+restaurant/data=!4m7!3m6!1s0x6b12c771029a5f29:0x908451edf8300ecb!8m2!3d-34.0339901!4d151.0855254!16s%2fg%2f1q2wbjkj7!19schijkv-aanhhemsryw4w-o1rhja?authuser=0&hl=en&rclk=1,the peppertree restaurant,+61 2 9540 2442,a$20–40,restaurant,4.2,"28 gymea bay rd, gymea nsw 2227, australia",,Hospitality,3.610917913,0,2025-10-08,won,0.3636058339,0.84,28.81240837,Tier 2,Tele
30,98636,6874ebb219ce6cf5230f54cd,https://www.google.com/maps/place/master+rolls+chatswood/data=!4m7!3m6!1s0x6b12a9b9a4c87ab5:0x7a05cf64fb1aaef4!8m2!3d-33.7945603!4d151.186122!16s%2fg%2f11fqzp2rb3!19schijtxriplmpemsr9k4a-2tpbxo?authuser=0&hl=en&rclk=1,master rolls chatswood,+61 2 8970 2757,a$1–20,japanese restaurant,3.5,"345 victoria ave, chatswood nsw 2067, australia",floor g · chatswood chase,Hospitality,2.079441542,0,2025-10-13,lost,0.1419553557,0.7,12.7368749,Tier 3,Tele
31,33386,6874eb24d36c9cc4a974175f,https://www.google.com/maps/place/the+kebab+truck/data=!4m7!3m6!1s0x6b12b935cc8bffff:0x65891ba243bd8080!8m2!3d-33.9537007!4d151.0519344!16s%2fg%2f11sy7316_2!19schij__-lzdw5emsrgic9q6ibiwu?authuser=0&hl=en&rclk=1,the kebab truck,,,restaurant,1.4,"168 belmore rd, riverwood nsw 2210, australia",,Hospitality,6.396929655,1,2025-10-22,process,0.766825137,0.28,64.79775959,Tier 1,Street
32,173878,687471dd54a5e7c52dd00133,https://www.google.com/maps/place/muffin+break+southgate/data=!4m7!3m6!1s0x6b12b8660b7cf19f:0x823bb0fa1d01d38a!8m2!3d-34.0102811!4d151.1040587!16s%2fg%2f11g6hy_s5_!19schijn_f8c2a4emsritmbhfqwo4i?authuser=0&hl=en&rclk=1,muffin break southgate,+61 403 518 770,a$1–20,cafe,4.5,"southgate shopping centre princess highway &, port hacking rd, sylvania nsw 2224, australia",floor 0 · southgate shopping centre,Hospitality,2.772588722,0,2025-10-07,process,0.2422745033,0.9,20.55921523,Tier 3,Tele
33,231198,68747c2c138006c93a2191fa,https://www.google.com/maps/place/big+bite+blacktown/data=!4m7!3m6!1s0x6b1299bb1ce43b69:0x7af0064ba467ae45!8m2!3d-33.7641019!4d150.9196231!16s%2fg%2f11flt29yd4!19schijatvkhluzemsrra5npesg8ho?authuser=0&hl=en&rclk=1,big bite blacktown,+61 481 015 454,a$20–40,modern indian restaurant,4.2,"shop 2/143 stephen st, blacktown nsw 2148, australia",,Hospitality,3.713572067,1,2025-10-20,lost,0.3784629631,0.84,39.85240742,Tier 2,Tele
34,37351,687500e57f12364de73fe8a7,https://www.google.com/maps/place/the+apartment+service+mortn/data=!4m9!3m8!5m2!4m1!1i2!8m2!3d-33.8343887!4d151.2008209!16s%2fg%2f11vrtx2t78!17bq0ff?authuser=0&hl=en&rclk=1,the apartment service mortn,,,apartment,4.6,"wollstonecraft, australia",,Hospitality,1.386294361,1,2025-10-14,lost,0.04163620813,0.92,16.59453457,Tier 3,Street
35,109086,6874e786a9d63ff70868ee14,https://www.google.com/maps/place/sushi+hub+sydney+central/data=!4m7!3m6!1s0x6b12ae26a6ec21f5:0xf2036409afe8fe12!8m2!3d-33.8828749!4d151.2036682!16s%2fg%2f11bv3mpbr9!19schij9shspiauemsrev7orwlka_i?authuser=0&hl=en&rclk=1,sushi hub sydney central,+61 2 9281 1258,a$1–20,conveyor belt sushi restaurant,4.1,"shop 2/815-825 george st, haymarket nsw 2000, australia",,Hospitality,3.401197382,0,2025-10-09,process,0.3332529947,0.82,26.60770963,Tier 3,Tele
36,82378,68747c7df6d9c635e8e6d193,https://www.google.com/maps/place/stanley+st+cafe/data=!4m7!3m6!1s0x6b12a815c6c1de51:0x147c6d14d3dd7ed7!8m2!3d-33.7298667!4d151.1625925!16s%2fg%2f12qftstl8!19schijud7bxhwoemsr137d0xrtfbq?authuser=0&hl=en&rclk=1,stanley st cafe,+61 2 8095 0484,a$20–40,cafe,4.3,"unit 15/17 stanley st, st ives nsw 2075, australia",,Hospitality,2.995732274,0,2025-10-27,lost,0.2745700553,0.86,22.65990387,Tier 3,Tele
37,81884,6874810e809754443a6a532a,https://www.google.com/maps/place/currynest+indian+cuisine/data=!4m7!3m6!1s0x6b12af38d97c4373:0x70d3a5243b390bae!8m2!3d-33.824087!4d151.2008507!16s%2fg%2f11l7frzhgq!19schijc0n82tivemsrrgs5oysl03a?authuser=0&hl=en&rclk=1,currynest indian cuisine,+61 2 8084 3916,a$20–40,indian restaurant,4.5,"130 willoughby rd, crows nest nsw 2065, australia",,Hospitality,4.919980926,1,2025-10-13,lost,0.5530664409,0.9,52.31465087,Tier 1,Tele
38,229125,68747c3feb0d112a36196484,https://www.google.com/maps/place/soulfull+treats+vegan+%26+vegetarian+indian+%26+asian+fusion+restaurant/data=!4m7!3m6!1s0x6b12af00292d911f:0xf0f47c4fb073896e!8m2!3d-33.8405633!4d151.2090514!16s%2fg%2f11wc0g45g5!19schijh5etkqcvemsrbolzse989pa?authuser=0&hl=en&rclk=1,soulfull treats vegan & vegetarian indian & asian fusion restaurant,+61 475 979 997,a$1–20,restaurant,4.7,"2 little walker st, north sydney nsw 2060, australia",,Hospitality,1.386294361,0,2025-11-02,process,0.04163620813,0.94,6.674534569,Tier 3,Tele
39,133550,68699b4a16a5cff794455948,https://www.google.com/maps/place/els+cafe+%26+bar/data=!4m7!3m6!1s0x6b12a26eed989d53:0x48b5150dee14abf3!8m2!3d-33.7730985!4d150.9698107!16s%2fg%2f1tj21psc!19schiju52y7w6iemsr86su7g0vtug?authuser=0&hl=en&rclk=1,els cafe & bar,+61 2 9624 7595,a$20–40,cafe,4.5,"64/180 caroline chisholm dr, winston hills nsw 2153, australia",,Hospitality,2.302585093,0,2025-10-09,process,0.1742509078,0.9,15.79756354,Tier 3,Tele
40,100397,687482c077bd2347dfd2073c,https://www.google.com/maps/place/ryoh+japanese+bbq/data=!4m7!3m6!1s0x6b12b1ea291fbded:0x5836e63d5f0dd0f2!8m2!3d-33.9053693!4d151.2129762!16s%2fg%2f11d_t5f9rc!19schij7b0fkeqxemsr8tanxz3mnlg?authuser=0&hl=en&rclk=1,ryoh japanese bbq,+61 2 9056 2772,a$60–80,japanese restaurant,4.2,"next to carpark entrance east village, 2c/4 defries ave, zetland nsw 2017, australia",floor g · east village,Hospitality,4.343805422,0,2025-10-11,process,0.4696765967,0.84,36.23736177,Tier 2,Tele
41,169166,687480a08c9b327fe5231e5c,https://www.google.com/maps/place/squared+cafe/data=!4m7!3m6!1s0x6b12af24b4cc5c8d:0xc1e3e96799c8120f!8m2!3d-33.8801571!4d151.2080529!16s%2fg%2f11vwgsvh9k!19schijjvzmtcsvemsrdxlimwfp48e?authuser=0&hl=en&rclk=1,squared cafe,+61 400 000 161,,cafe,3.3,"ground floor/323 castlereagh st, haymarket nsw 2000, australia",floor 1 · legal aid nsw,Hospitality,5.945420609,1,2025-10-18,won,0.7014782613,0.66,61.74347829,Tier 1,Tele
42,140046,68747c2b4f66e0cc5315fca0,https://www.google.com/maps/place/maggie%27s+pizzeria/data=!4m7!3m6!1s0x6b129a8a8ca26473:0xda599cab9dca1b37!8m2!3d-33.7695999!4d150.8130994!16s%2fg%2f1tj461j9!19schijc2sijiqaemsrnxvknaucwdo?authuser=0&hl=en&rclk=1,maggie's pizzeria,+61 2 9675 2363,a$20–40,italian restaurant,4.5,"18e mount druitt rd, mount druitt nsw 2770, australia",,Hospitality,2.302585093,0,2025-10-17,won,0.1742509078,0.9,15.79756354,Tier 3,Tele
43,151723,687481b2c436a393bd4489c4,https://www.google.com/maps/place/daily+garden+chinese+take+away/data=!4m7!3m6!1s0x6b12be432b53734d:0x8d375ab9c7b43eed!8m2!3d-33.9380634!4d150.9890483!16s%2fg%2f1tcz_pfb!19schijtxntk0o-emsr7t60x7lan40?authuser=0&hl=en&rclk=1,daily garden chinese take away,+61 2 9792 6060,a$1–20,chinese restaurant,4.1,"1/120 ashford ave, milperra nsw 2214, australia",,Hospitality,1.945910149,1,2025-10-11,won,0.1226293657,0.82,21.8640556,Tier 3,Tele
44,1586,687480c8404f6ac47952f944,https://www.google.com/maps/place/yatai+ozeki/data=!4m7!3m6!1s0x6b12995797987283:0xd4d42d7cd8e11ea8!8m2!3d-33.7698646!4d150.9064297!16s%2fg%2f11k98lzqxh!19schijg3kyl1ezemsrqb7h2hwt1nq?authuser=0&hl=en&rclk=1,yatai ozeki,,a$1–20,japanese restaurant,3.8,"17 patrick st, blacktown nsw 2148, australia",floor 3 · westpoint,Hospitality,2.772588722,1,2025-10-14,process,0.2422745033,0.76,29.99921523,Tier 2,Street
45,234708,6874eba4eb7f334b0826f875,https://www.google.com/maps/place/popup+kitchen/data=!4m7!3m6!1s0x6b12a785a313a3f5:0x494e04a80133f304!8m2!3d-33.7721719!4d151.0812199!16s%2fg%2f11fvl1c_87!19schij9amto4wnemsrbpmzaagetkk?authuser=0&hl=en&rclk=1,popup kitchen,+61 491 738 056,,caterer,4.2,"70 beecroft rd, epping nsw 2121, australia",,Hospitality,5.556828062,0,2025-10-16,won,0.6452372866,0.84,48.52661006,Tier 1,Tele
46,29338,68747c059be953c4e87caab2,https://www.google.com/maps/place/true+brew+cafe/data=!4m7!3m6!1s0x6b12bb82dc7decf1:0xd74b8fa7b0d5b545!8m2!3d-33.9115952!4d151.1029989!16s%2fg%2f11fwhf2bm3!19schij8ex93ik7emsrrbxvskeps9c?authuser=0&hl=en&rclk=1,true brew cafe,,a$1–20,art cafe,4.3,"22 anglo rd, campsie nsw 2194, australia",,Hospitality,2.397895273,0,2025-10-15,won,0.188045144,0.86,16.60316008,Tier 3,Street
47,150760,687472e84fd9bec4da014ef7,https://www.google.com/maps/place/rock+lily+pyrmont/data=!4m7!3m6!1s0x6b12ae36f1f7ebd7:0xac73b4aae5c7e2f3!8m2!3d-33.8690995!4d151.195494!16s%2fg%2f1tz763mk!19schij1-v38tauemsr8-lh5aq0c6w?authuser=0&hl=en&rclk=1,rock lily pyrmont,+61 2 9777 9000,,bar,4.1,"the star, 80 pyrmont st, pyrmont nsw 2009, australia",,Hospitality,5.010635294,0,2025-11-02,process,0.5661868419,0.82,42.91307893,Tier 1,Tele
48,83751,6875242f69357364acfcfb1c,https://www.google.com/maps/place/paradox+sydney/data=!4m7!3m6!1s0x6b12ae41c42faa23:0xb54ef0d46e1ed701!8m2!3d-33.86534!4d151.2089324!16s%2fg%2f1tj2j15s!19schiji6ovxeguemsradcebttwtru?authuser=0&hl=en&rclk=1,paradox sydney,+61 2 8214 0000,,5-star hotel,4.5,"27 o'connell st, sydney nsw 2000, australia",,Hospitality,1.609437912,1,2025-10-17,process,0.07393176019,0.9,18.77522321,Tier 3,Tele
49,113148,68747216c1d7a7d2601e1fd3,https://www.google.com/maps/place/espetus+churrascaria/data=!4m7!3m6!1s0x6b12ae146b6f956b:0x277b40952b39f3b7!8m2!3d-33.8739061!4d151.2152218!16s%2fg%2f1thfflr3!19schija5vvaxsuemsrt_m5k5vaeyc?authuser=0&hl=en&rclk=1,espetus churrascaria,+61 2 9360 6070,a$60–80,brazilian restaurant,4.3,"unit 60/70 william st, woolloomooloo nsw 2011, australia",,Hospitality,1.098612289,1,2025-10-31,process,0,0.86,13.44,Tier 3,Tele
